package,name,composable,skippable,restartable,readonly,inline,isLambda,hasDefaults,defaultsGroup,groups,calls,
com.shopl.sdg.component.avatar.SDGAvatar,SDGAvatar,1,1,1,0,0,0,1,0,2,1,
com.shopl.sdg.component.avatar.PrevAvatar,PrevAvatar,1,1,1,0,0,0,0,0,1,1,
com.shopl.sdg.component.avatar.IOAvatar,IOAvatar,1,1,1,0,0,0,1,0,5,3,
com.shopl.sdg.component.badge.box.SDGBoxBadge,SDGBoxBadge,1,1,1,0,0,0,0,0,1,1,
com.shopl.sdg.component.badge.box.PrevSDGBoxBadge,PrevSDGBoxBadge,1,1,1,0,0,0,0,0,1,1,
com.shopl.sdg.component.badge.capsule.SDGCapsuleBadge,SDGCapsuleBadge,1,1,1,0,0,0,0,0,1,1,
com.shopl.sdg.component.badge.capsule.PrevSDGCapsuleBadge,PrevSDGCapsuleBadge,1,1,1,0,0,0,0,0,1,1,
com.shopl.sdg.component.button.bottom.SDGBottomButton,SDGBottomButton,1,1,1,0,0,0,0,0,1,3,
com.shopl.sdg.component.button.bottom.PreviewBottomButton,PreviewBottomButton,1,1,1,0,0,0,0,0,1,1,
com.shopl.sdg.component.button.box.SDGBoxButton,SDGBoxButton,1,1,1,0,0,0,0,0,1,1,
com.shopl.sdg.component.button.box.SDGBoxButton,SDGBoxButton,1,1,1,0,0,0,0,0,1,1,
com.shopl.sdg.component.button.box.SDGBoxButton,SDGBoxButton,1,1,1,0,0,0,0,0,1,1,
com.shopl.sdg.component.button.box.PrevTest,PrevTest,1,1,1,0,0,0,0,0,1,1,
com.shopl.sdg.component.button.capsule.SDGCapsuleButton,SDGCapsuleButton,1,1,1,0,0,0,0,0,1,1,
com.shopl.sdg.component.button.capsule.SDGCapsuleButton,SDGCapsuleButton,1,1,1,0,0,0,0,0,1,1,
com.shopl.sdg.component.button.capsule.SDGCapsuleButton,SDGCapsuleButton,1,1,1,0,0,0,0,0,1,1,
com.shopl.sdg.component.button.capsule.PrevTest,PrevTest,1,1,1,0,0,0,0,0,1,1,
com.shopl.sdg.component.button.ghost.SDGGhostButton,SDGGhostButton,1,1,1,0,0,0,0,0,1,1,
com.shopl.sdg.component.button.ghost.SDGGhostButton,SDGGhostButton,1,1,1,0,0,0,0,0,1,1,
com.shopl.sdg.component.button.ghost.SDGGhostButton,SDGGhostButton,1,1,1,0,0,0,0,0,1,1,
com.shopl.sdg.component.button.ghost.PrevTest,PrevTest,1,1,1,0,0,0,0,0,1,1,
com.shopl.sdg.component.calendar.SDGCalendarDay,SDGCalendarDay,1,1,1,0,0,0,1,0,2,7,
com.shopl.sdg.component.calendar.SDGCalendarHeader,SDGCalendarHeader,1,1,1,0,0,0,0,0,1,1,
com.shopl.sdg.component.calendar.SDGWeekHeader,SDGWeekHeader,1,1,1,0,0,0,0,0,1,1,
com.shopl.sdg.component.calendar.SDGWeekHeaderCell,SDGWeekHeaderCell,1,1,1,0,0,0,0,0,1,2,
